date,cbp_apprehended,cbp_in_custody,cbp_transferred_out,hhs_in_care,hhs_discharged,flag_transfer_exceeds_custody,flag_discharge_exceeds_care,is_reported_day,total_system_load,net_daily_intake,load_growth_rate_pct,load_7d_avg,load_14d_avg,volatility_7d,backlog_streak_days,backlog_indicator,discharge_offset_ratio
2023-01-12,33.0,53.0,34.0,6566.0,436.0,False,False,True,6619.0,-402.0,,6619.0,6619.0,,0,False,12.82
2023-01-13,,53.0,,6566.0,,,,False,6619.0,,0.0,6619.0,6619.0,,0,False,
2023-01-14,,53.0,,6566.0,,,,False,6619.0,,0.0,6619.0,6619.0,,0,False,
2023-01-15,,53.0,,6566.0,,,,False,6619.0,,0.0,6619.0,6619.0,0.0,0,False,
2023-01-16,,53.0,,6566.0,,,,False,6619.0,,0.0,6619.0,6619.0,0.0,0,False,
2023-01-17,,53.0,,6566.0,,,,False,6619.0,,0.0,6619.0,6619.0,0.0,0,False,
2023-01-18,,53.0,,6566.0,,,,False,6619.0,,0.0,6619.0,6619.0,0.0,0,False,
2023-01-19,,53.0,,6566.0,,,,False,6619.0,,0.0,6619.0,6619.0,0.0,0,False,
2023-01-20,,53.0,,6566.0,,,,False,6619.0,,0.0,6619.0,6619.0,0.0,0,False,
2023-01-21,,53.0,,6566.0,,,,False,6619.0,,0.0,6619.0,6619.0,0.0,0,False,
2023-01-22,32.0,49.0,39.0,7122.0,227.0,False,False,True,7171.0,-188.0,8.34,6697.9,6669.2,3.15,0,False,5.82
2023-01-23,32.0,50.0,39.0,7280.0,181.0,False,False,True,7330.0,-142.0,2.22,6799.4,6724.2,3.12,0,False,4.64
2023-01-24,47.0,42.0,47.0,7433.0,175.0,True,False,True,7475.0,-128.0,1.98,6921.7,6782.0,3.05,0,False,3.72
2023-01-25,20.0,22.0,41.0,7538.0,180.0,True,False,True,7560.0,-139.0,1.14,7056.1,6837.6,2.97,0,False,4.39
2023-01-26,,22.0,,7538.0,,,,False,7560.0,,0.0,7190.6,6904.8,2.97,0,False,
2023-01-27,,22.0,,7538.0,,,,False,7560.0,,0.0,7325.0,6972.0,2.97,0,False,
2023-01-28,,22.0,,7538.0,,,,False,7560.0,,0.0,7459.4,7039.2,2.97,0,False,
2023-01-29,23.0,45.0,11.0,7472.0,303.0,False,False,True,7517.0,-292.0,-0.57,7508.9,7103.4,1.1,0,False,27.55
2023-01-30,34.0,54.0,29.0,7743.0,196.0,False,False,True,7797.0,-167.0,3.72,7575.6,7187.5,1.51,0,False,6.76
2023-01-31,26.0,36.0,36.0,7803.0,158.0,False,False,True,7839.0,-122.0,0.54,7627.6,7274.6,1.44,0,False,4.39
2023-02-01,25.0,32.0,27.0,7903.0,231.0,False,False,True,7935.0,-204.0,1.22,7681.1,7368.6,1.44,0,False,8.56
2023-02-02,15.0,13.0,23.0,7879.0,298.0,True,False,True,7892.0,-275.0,-0.54,7728.6,7459.6,1.5,0,False,12.96
2023-02-03,,13.0,,7879.0,,,,False,7892.0,,0.0,7776.0,7550.5,1.5,0,False,
2023-02-04,,13.0,,7879.0,,,,False,7892.0,,0.0,7823.4,7641.4,1.5,0,False,
2023-02-05,16.0,18.0,15.0,7586.0,342.0,False,False,True,7604.0,-327.0,-3.65,7835.9,7672.4,2.2,0,False,22.8
2023-02-06,11.0,22.0,12.0,7720.0,196.0,False,False,True,7742.0,-184.0,1.81,7828.0,7701.8,1.76,0,False,16.33
2023-02-07,16.0,20.0,20.0,7855.0,200.0,False,False,True,7875.0,-180.0,1.72,7833.1,7730.4,1.88,0,False,10.0
2023-02-08,93.0,196.0,169.0,7915.0,317.0,False,False,True,8111.0,-148.0,3.0,7858.3,7769.7,2.16,0,False,1.88
2023-02-09,124.0,234.0,161.0,7908.0,353.0,False,False,True,8142.0,-192.0,0.38,7894.0,7811.3,2.13,0,False,2.19
2023-02-10,,234.0,,7908.0,,,,False,8142.0,,0.0,7929.7,7852.9,2.13,0,False,
2023-02-11,,234.0,,7908.0,,,,False,8142.0,,0.0,7965.4,7894.4,2.13,0,False,
2023-02-12,92.0,203.0,173.0,7434.0,317.0,False,False,True,7637.0,-144.0,-6.2,7970.1,7903.0,2.99,0,False,1.83
2023-02-13,186.0,259.0,172.0,7483.0,244.0,False,False,True,7742.0,-72.0,1.37,7970.1,7899.1,2.96,0,False,1.42
2023-02-14,154.0,225.0,220.0,7794.0,223.0,False,False,True,8019.0,-3.0,3.58,7990.7,7911.9,3.2,0,False,1.01
2023-02-15,91.0,199.0,172.0,7869.0,290.0,False,False,True,8068.0,-118.0,0.61,7984.6,7921.4,2.99,0,False,1.69
2023-02-16,81.0,213.0,153.0,7793.0,361.0,False,False,True,8006.0,-208.0,-0.77,7965.1,7929.6,2.99,0,False,2.36
2023-02-17,,213.0,,7793.0,,,,False,8006.0,,0.0,7945.7,7937.7,2.99,0,False,
2023-02-18,,213.0,,7793.0,,,,False,8006.0,,0.0,7926.3,7945.9,2.99,0,False,
2023-02-19,,213.0,,7793.0,,,,False,8006.0,,0.0,7979.0,7974.6,1.44,0,False,
2023-02-20,209.0,285.0,184.0,7817.0,209.0,False,False,True,8102.0,-25.0,1.2,8030.4,8000.3,1.42,0,False,1.14
2023-02-21,184.0,314.0,217.0,7967.0,213.0,False,False,True,8281.0,4.0,2.21,8067.9,8029.3,0.98,1,False,0.98
2023-02-22,107.0,215.0,230.0,7978.0,232.0,True,False,True,8193.0,-2.0,-1.06,8085.7,8035.1,1.13,0,False,1.01
2023-02-23,101.0,162.0,178.0,7914.0,386.0,True,False,True,8076.0,-208.0,-1.43,8095.7,8030.4,1.25,0,False,2.17
2023-02-24,,162.0,,7914.0,,,,False,8076.0,,0.0,8105.7,8025.7,1.25,0,False,
2023-02-25,,162.0,,7914.0,,,,False,8076.0,,0.0,8115.7,8021.0,1.25,0,False,
2023-02-26,99.0,190.0,176.0,7609.0,323.0,False,False,True,7799.0,-147.0,-3.43,8086.1,8032.6,1.84,0,False,1.84
2023-02-27,167.0,239.0,166.0,7800.0,248.0,False,False,True,8039.0,-82.0,3.08,8077.1,8053.8,2.21,0,False,1.49
2023-02-28,115.0,216.0,169.0,7896.0,200.0,False,False,True,8112.0,-31.0,0.91,8053.0,8060.4,2.03,0,False,1.18
2023-03-01,84.0,158.0,193.0,7930.0,307.0,True,False,True,8088.0,-114.0,-0.3,8038.0,8061.9,2.0,0,False,1.59
2023-03-02,130.0,227.0,192.0,7870.0,335.0,False,False,True,8097.0,-143.0,0.11,8041.0,8068.4,1.92,0,False,1.74
2023-03-03,,227.0,,7870.0,,,,False,8097.0,,0.0,8044.0,8074.9,1.92,0,False,
2023-03-04,,227.0,,7870.0,,,,False,8097.0,,0.0,8047.0,8081.4,1.92,0,False,
2023-03-05,,227.0,,7870.0,,,,False,8097.0,,0.0,8089.6,8087.9,1.18,0,False,
2023-03-06,,227.0,,7870.0,,,,False,8097.0,,0.0,8097.9,8087.5,0.38,0,False,
2023-03-07,88.0,214.0,160.0,7859.0,259.0,False,False,True,8073.0,-99.0,-0.3,8092.3,8072.6,0.16,0,False,1.62
2023-03-08,113.0,208.0,159.0,7885.0,291.0,False,False,True,8093.0,-132.0,0.25,8093.0,8065.5,0.17,0,False,1.83
2023-03-09,174.0,285.0,150.0,7786.0,340.0,False,False,True,8071.0,-190.0,-0.27,8089.3,8065.1,0.19,0,False,2.27
2023-03-10,,285.0,,7786.0,,,,False,8071.0,,0.0,8085.6,8064.8,0.19,0,False,
2023-03-11,,285.0,,7786.0,,,,False,8071.0,,0.0,8081.9,8064.4,0.19,0,False,
2023-03-12,,285.0,,7786.0,,,,False,8071.0,,0.0,8078.1,8083.9,0.19,0,False,
2023-03-13,104.0,230.0,206.0,7567.0,249.0,False,False,True,7797.0,-43.0,-3.39,8035.3,8066.6,1.27,0,False,1.21
2023-03-14,147.0,276.0,214.0,7810.0,181.0,False,False,True,8086.0,33.0,3.71,8037.1,8064.7,2.06,1,False,0.85
2023-03-15,108.0,220.0,213.0,7915.0,286.0,False,False,True,8135.0,-73.0,0.61,8043.1,8068.1,2.07,0,False,1.34
2023-03-16,180.0,280.0,146.0,7989.0,308.0,False,False,True,8269.0,-162.0,1.65,8071.4,8080.4,2.14,0,False,2.11
2023-03-17,,280.0,,7989.0,,,,False,8269.0,,0.0,8099.7,8092.6,2.14,0,False,
2023-03-18,,280.0,,7989.0,,,,False,8269.0,,0.0,8128.0,8104.9,2.14,0,False,
2023-03-19,134.0,294.0,186.0,7885.0,306.0,False,False,True,8179.0,-120.0,-1.09,8143.4,8110.8,2.21,0,False,1.65
2023-03-20,202.0,313.0,158.0,7931.0,279.0,False,False,True,8244.0,-121.0,0.79,8207.3,8121.3,1.53,0,False,1.77
2023-03-21,110.0,272.0,193.0,8050.0,221.0,False,False,True,8322.0,-28.0,0.95,8241.0,8139.1,0.88,0,False,1.15
2023-03-22,166.0,277.0,229.0,8097.0,246.0,False,False,True,8374.0,-17.0,0.62,8275.1,8159.1,0.88,0,False,1.07
2023-03-23,136.0,276.0,178.0,8102.0,331.0,False,False,True,8378.0,-153.0,0.05,8290.7,8181.1,0.69,0,False,1.86
2023-03-24,,276.0,,8102.0,,,,False,8378.0,,0.0,8306.3,8203.0,0.69,0,False,
2023-03-25,,276.0,,8102.0,,,,False,8378.0,,0.0,8321.9,8224.9,0.69,0,False,
2023-03-26,87.0,246.0,173.0,7847.0,352.0,False,False,True,8093.0,-179.0,-3.4,8309.6,8226.5,1.49,0,False,2.03
2023-03-27,84.0,171.0,157.0,7994.0,235.0,False,False,True,8165.0,-78.0,0.89,8298.3,8252.8,1.5,0,False,1.5
2023-03-28,167.0,209.0,157.0,8079.0,223.0,False,False,True,8288.0,-66.0,1.51,8293.4,8267.2,1.58,0,False,1.42
2023-03-29,109.0,245.0,159.0,8208.0,267.0,False,False,True,8453.0,-108.0,1.99,8304.7,8289.9,1.75,0,False,1.68
2023-03-30,156.0,256.0,176.0,8158.0,359.0,False,False,True,8414.0,-183.0,-0.46,8309.9,8300.3,1.77,0,False,2.04
2023-03-31,,256.0,,8158.0,,,,False,8414.0,,0.0,8315.0,8310.6,1.77,0,False,
2023-04-01,,256.0,,8158.0,,,,False,8414.0,,0.0,8320.1,8321.0,1.77,0,False,
2023-04-02,125.0,232.0,192.0,7981.0,304.0,False,False,True,8213.0,-112.0,-2.39,8337.3,8323.4,1.45,0,False,1.58
2023-04-03,118.0,139.0,168.0,8054.0,284.0,True,False,True,8193.0,-116.0,-0.24,8341.3,8319.8,1.43,0,False,1.69
2023-04-04,142.0,235.0,139.0,8068.0,259.0,False,False,True,8303.0,-120.0,1.34,8343.4,8318.4,1.4,0,False,1.86
2023-04-05,148.0,245.0,175.0,8175.0,260.0,False,False,True,8420.0,-85.0,1.41,8338.7,8321.7,1.27,0,False,1.49
2023-04-06,119.0,219.0,210.0,8178.0,284.0,False,False,True,8397.0,-74.0,-0.27,8336.3,8323.1,1.27,0,False,1.35
2023-04-07,,219.0,,8178.0,,,,False,8397.0,,0.0,8333.9,8324.4,1.27,0,False,
2023-04-08,,219.0,,8178.0,,,,False,8397.0,,0.0,8331.4,8325.8,1.27,0,False,
2023-04-09,105.0,210.0,149.0,7900.0,329.0,False,False,True,8110.0,-180.0,-3.42,8316.7,8327.0,1.6,0,False,2.21
2023-04-10,143.0,203.0,163.0,7826.0,265.0,False,False,True,8029.0,-102.0,-1.0,8293.3,8317.3,1.63,0,False,1.63
2023-04-11,119.0,209.0,152.0,7922.0,187.0,False,False,True,8131.0,-35.0,1.27,8268.7,8306.1,1.62,0,False,1.23
2023-04-12,155.0,212.0,181.0,7876.0,283.0,False,False,True,8088.0,-102.0,-0.53,8221.3,8280.0,1.44,0,False,1.56
2023-04-13,109.0,214.0,173.0,7795.0,370.0,False,False,True,8009.0,-197.0,-0.98,8165.9,8251.1,1.44,0,False,2.14
2023-04-14,,214.0,,7795.0,,,,False,8009.0,,0.0,8110.4,8222.1,1.44,0,False,
2023-04-15,,214.0,,7795.0,,,,False,8009.0,,0.0,8055.0,8193.2,1.44,0,False,
2023-04-16,191.0,283.0,192.0,7380.0,272.0,False,False,True,7663.0,-80.0,-4.32,7991.1,8153.9,1.74,0,False,1.42
2023-04-17,170.0,297.0,196.0,7344.0,248.0,False,False,True,7641.0,-52.0,-0.29,7935.7,8114.5,1.74,0,False,1.27
2023-04-18,152.0,272.0,214.0,7376.0,234.0,False,False,True,7648.0,-20.0,0.09,7866.7,8067.7,1.57,0,False,1.09
2023-04-19,239.0,367.0,224.0,7356.0,229.0,False,False,True,7723.0,-5.0,0.98,7814.6,8017.9,1.72,0,False,1.02
2023-04-20,113.0,280.0,237.0,7490.0,320.0,False,False,True,7770.0,-83.0,0.61,7780.4,7973.1,1.77,0,False,1.35
2023-04-21,,280.0,,7490.0,,,,False,7770.0,,0.0,7746.3,7928.4,1.77,0,False,
2023-04-22,,280.0,,7490.0,,,,False,7770.0,,0.0,7712.1,7883.6,1.77,0,False,
2023-04-23,196.0,306.0,187.0,7534.0,266.0,False,False,True,7840.0,-79.0,0.9,7737.4,7864.3,0.5,0,False,1.42
2023-04-24,236.0,330.0,222.0,7796.0,213.0,False,False,True,8126.0,9.0,3.65,7806.7,7871.2,1.29,1,False,0.96
2023-04-25,81.0,230.0,242.0,8017.0,202.0,True,False,True,8247.0,40.0,1.49,7892.3,7879.5,1.25,2,False,0.83
2023-04-26,118.0,245.0,160.0,8117.0,256.0,False,False,True,8362.0,-96.0,1.39,7983.6,7899.1,1.25,0,False,1.6
2023-04-27,218.0,283.0,208.0,8159.0,310.0,False,False,True,8442.0,-102.0,0.96,8079.6,7930.0,1.23,0,False,1.49
2023-04-28,,283.0,,8159.0,,,,False,8442.0,,0.0,8175.6,7960.9,1.23,0,False,
2023-04-29,,283.0,,8159.0,,,,False,8442.0,,0.0,8271.6,7991.9,1.23,0,False,
2023-04-30,132.0,243.0,183.0,8352.0,293.0,False,False,True,8595.0,-110.0,1.81,8379.4,8058.4,1.25,0,False,1.6
2023-05-01,224.0,315.0,152.0,8492.0,237.0,False,False,True,8807.0,-85.0,2.47,8476.7,8141.7,0.92,0,False,1.56
2023-05-02,167.0,326.0,213.0,8654.0,245.0,False,False,True,8980.0,-32.0,1.96,8581.4,8236.9,0.96,0,False,1.15
2023-05-03,209.0,353.0,232.0,8704.0,267.0,False,False,True,9057.0,-35.0,0.86,8680.7,8332.1,0.97,0,False,1.15
2023-05-04,153.0,253.0,286.0,8790.0,332.0,True,False,True,9043.0,-46.0,-0.15,8766.6,8423.1,1.09,0,False,1.16
2023-05-05,,253.0,,8790.0,,,,False,9043.0,,0.0,8852.4,8514.0,1.09,0,False,
2023-05-06,,253.0,,8790.0,,,,False,9043.0,,0.0,8938.3,8604.9,1.09,0,False,
2023-05-07,180.0,337.0,219.0,8485.0,375.0,False,False,True,8822.0,-156.0,-2.44,8970.7,8675.1,1.61,0,False,1.71
2023-05-08,133.0,287.0,189.0,8590.0,261.0,False,False,True,8877.0,-72.0,0.62,8980.7,8728.7,1.34,0,False,1.38
2023-05-09,187.0,310.0,247.0,8606.0,250.0,False,False,True,8916.0,-3.0,0.44,8971.6,8776.5,1.1,0,False,1.01
2023-05-10,168.0,285.0,210.0,8681.0,304.0,False,False,True,8966.0,-94.0,0.56,8958.6,8819.6,1.06,0,False,1.45
2023-05-11,269.0,412.0,204.0,8672.0,392.0,False,False,True,9084.0,-188.0,1.32,8964.4,8865.5,1.19,0,False,1.92
2023-05-12,,412.0,,8672.0,,,,False,9084.0,,0.0,8970.3,8911.4,1.19,0,False,
2023-05-13,,412.0,,8672.0,,,,False,9084.0,,0.0,8976.1,8957.2,1.19,0,False,
2023-05-14,100.0,255.0,236.0,8445.0,288.0,False,False,True,8700.0,-52.0,-4.23,8958.7,8964.7,1.84,0,False,1.22
2023-05-15,205.0,294.0,177.0,8571.0,277.0,False,False,True,8865.0,-100.0,1.9,8957.0,8968.9,1.99,0,False,1.56
2023-05-16,161.0,304.0,211.0,8572.0,272.0,False,False,True,8876.0,-61.0,0.12,8951.3,8961.4,1.98,0,False,1.29
2023-05-17,57.0,162.0,193.0,8569.0,307.0,True,False,True,8731.0,-114.0,-1.63,8917.7,8938.1,2.04,0,False,1.59
2023-05-18,80.0,122.0,152.0,8474.0,351.0,True,False,True,8596.0,-199.0,-1.55,8848.0,8906.2,1.93,0,False,2.31
2023-05-19,,122.0,,8474.0,,,,False,8596.0,,0.0,8778.3,8874.3,1.93,0,False,
